=== qwen / srl ===
loading Qwen2.5-7B-Instruct (Q4_K_M) ...
loaded in 432.8s
81 clauses  model=qwen  scheme=srl
[1/81]   7.8s  avg=  7.8s  ok=1/1  eta= 10.4min  id=6c70c05d
[2/81]   5.7s  avg=  6.7s  ok=2/2  eta=  8.9min  id=90198b2f
[3/81]   5.9s  avg=  6.4s  ok=3/3  eta=  8.4min  id=12f07fb3
[4/81]   5.8s  avg=  6.3s  ok=4/4  eta=  8.1min  id=85fbe1ef
[5/81]   6.1s  avg=  6.2s  ok=5/5  eta=  7.9min  id=919e8c64
[6/81]   5.9s  avg=  6.2s  ok=6/6  eta=  7.7min  id=f1d27d11
[7/81]   5.9s  avg=  6.1s  ok=7/7  eta=  7.6min  id=854eba63
[8/81]   6.2s  avg=  6.1s  ok=8/8  eta=  7.5min  id=d6504b6b
[9/81]   7.0s  avg=  6.2s  ok=9/9  eta=  7.5min  id=ba68cdb6
[10/81]   6.0s  avg=  6.2s  ok=10/10  eta=  7.3min  id=9affec9a
[11/81]   6.2s  avg=  6.2s  ok=11/11  eta=  7.2min  id=b1485f9d
[12/81]   6.0s  avg=  6.2s  ok=12/12  eta=  7.1min  id=36da9597
[13/81]   6.0s  avg=  6.2s  ok=13/13  eta=  7.0min  id=e61e6b32
[14/81]   5.9s  avg=  6.2s  ok=14/14  eta=  6.9min  id=254ae6a0
[15/81]   5.9s  avg=  6.1s  ok=15/15  eta=  6.8min  id=cc1a7762
[16/81]   6.2s  avg=  6.1s  ok=16/16  eta=  6.7min  id=d5b5dbb9
[17/81]   5.9s  avg=  6.1s  ok=17/17  eta=  6.5min  id=dad1381f
[18/81]   5.5s  avg=  6.1s  ok=18/18  eta=  6.4min  id=3257b1ba
[19/81]   5.8s  avg=  6.1s  ok=19/19  eta=  6.3min  id=3f7337d0
[20/81]   5.8s  avg=  6.1s  ok=20/20  eta=  6.2min  id=53e07303
[21/81]   6.4s  avg=  6.1s  ok=21/21  eta=  6.1min  id=8d6dc531
[22/81]   6.0s  avg=  6.1s  ok=22/22  eta=  6.0min  id=8c22824f
[23/81]   5.6s  avg=  6.1s  ok=23/23  eta=  5.9min  id=09c28b54
[24/81]   5.7s  avg=  6.0s  ok=24/24  eta=  5.7min  id=0c539d50
[25/81]   5.7s  avg=  6.0s  ok=25/25  eta=  5.6min  id=5c175f9b
[26/81]   6.1s  avg=  6.0s  ok=26/26  eta=  5.5min  id=aa45604e
[27/81]   5.7s  avg=  6.0s  ok=27/27  eta=  5.4min  id=8f30fd87
[28/81]   5.8s  avg=  6.0s  ok=28/28  eta=  5.3min  id=149ee200
[29/81]   5.6s  avg=  6.0s  ok=28/29  eta=  5.2min  id=f611c08f
[30/81]   5.8s  avg=  6.0s  ok=29/30  eta=  5.1min  id=4bc9d48d
[31/81]   5.3s  avg=  6.0s  ok=30/31  eta=  5.0min  id=a0a638e7
[32/81]   5.6s  avg=  6.0s  ok=31/32  eta=  4.9min  id=96f1ca71
[33/81]   5.3s  avg=  5.9s  ok=32/33  eta=  4.8min  id=91b25250
[34/81]   5.5s  avg=  5.9s  ok=33/34  eta=  4.6min  id=fc2be294
[35/81]   5.9s  avg=  5.9s  ok=34/35  eta=  4.5min  id=66eb98e8
[36/81]   5.9s  avg=  5.9s  ok=35/36  eta=  4.4min  id=defff373
[37/81]   5.9s  avg=  5.9s  ok=36/37  eta=  4.3min  id=cb8565e3
[38/81]   5.8s  avg=  5.9s  ok=37/38  eta=  4.2min  id=85050eed
[39/81]   6.1s  avg=  5.9s  ok=38/39  eta=  4.1min  id=230775d0
[40/81]   5.6s  avg=  5.9s  ok=39/40  eta=  4.0min  id=e73d0abb
[41/81]   5.6s  avg=  5.9s  ok=40/41  eta=  3.9min  id=404ced89
[42/81]   6.0s  avg=  5.9s  ok=41/42  eta=  3.8min  id=864599dc
[43/81]   5.9s  avg=  5.9s  ok=42/43  eta=  3.7min  id=01adeba3
[44/81]   5.9s  avg=  5.9s  ok=43/44  eta=  3.6min  id=33d2389b
[45/81]   5.7s  avg=  5.9s  ok=44/45  eta=  3.5min  id=48e3b2dc
[46/81]   5.6s  avg=  5.9s  ok=45/46  eta=  3.4min  id=1099d881
[47/81]   5.7s  avg=  5.9s  ok=46/47  eta=  3.3min  id=8b576093
[48/81]   5.8s  avg=  5.9s  ok=47/48  eta=  3.2min  id=517b0621
[49/81]   6.1s  avg=  5.9s  ok=48/49  eta=  3.1min  id=99d422b9
[50/81]   6.2s  avg=  5.9s  ok=49/50  eta=  3.0min  id=a4549b4f
[51/81]   5.7s  avg=  5.9s  ok=50/51  eta=  2.9min  id=866a15ed
[52/81]   5.5s  avg=  5.9s  ok=51/52  eta=  2.8min  id=6a06ab7d
[53/81]   5.8s  avg=  5.9s  ok=52/53  eta=  2.7min  id=f1c54d9d
[54/81]   5.7s  avg=  5.9s  ok=53/54  eta=  2.6min  id=5510c719
[55/81]   6.2s  avg=  5.9s  ok=54/55  eta=  2.6min  id=bad43436
[56/81]   6.2s  avg=  5.9s  ok=55/56  eta=  2.5min  id=5b72156d
[57/81]   6.2s  avg=  5.9s  ok=56/57  eta=  2.4min  id=4b4d7c63
[58/81]   5.9s  avg=  5.9s  ok=57/58  eta=  2.3min  id=7aaecc5b
[59/81]   6.3s  avg=  5.9s  ok=58/59  eta=  2.2min  id=82c58e4c
[60/81]   5.9s  avg=  5.9s  ok=59/60  eta=  2.1min  id=65e6cfee
[61/81]   6.0s  avg=  5.9s  ok=60/61  eta=  2.0min  id=8b21c9f1
[62/81]   6.0s  avg=  5.9s  ok=61/62  eta=  1.9min  id=4ed06393
[63/81]   6.3s  avg=  5.9s  ok=62/63  eta=  1.8min  id=b731d69f
[64/81]   6.1s  avg=  5.9s  ok=63/64  eta=  1.7min  id=e77c2c0a
[65/81]   5.9s  avg=  5.9s  ok=64/65  eta=  1.6min  id=9836b4c5
[66/81]   5.8s  avg=  5.9s  ok=65/66  eta=  1.5min  id=e748ffff
[67/81]   5.8s  avg=  5.9s  ok=66/67  eta=  1.4min  id=8436f36e
[68/81]   5.5s  avg=  5.9s  ok=67/68  eta=  1.3min  id=88fd1ad2
[69/81]   5.4s  avg=  5.9s  ok=68/69  eta=  1.2min  id=b260db45
[70/81]   5.5s  avg=  5.9s  ok=69/70  eta=  1.1min  id=9803dd21
[71/81]   5.7s  avg=  5.9s  ok=70/71  eta=  1.0min  id=30d69ed8
[72/81]   5.7s  avg=  5.9s  ok=71/72  eta=  0.9min  id=12073c5c
[73/81]   5.7s  avg=  5.9s  ok=72/73  eta=  0.8min  id=56c4ad27
[74/81]   5.7s  avg=  5.9s  ok=73/74  eta=  0.7min  id=ebaa1e16
[75/81]   5.6s  avg=  5.9s  ok=74/75  eta=  0.6min  id=16e8253e
[76/81]   6.1s  avg=  5.9s  ok=75/76  eta=  0.5min  id=a19ee40d
[77/81]   5.5s  avg=  5.9s  ok=76/77  eta=  0.4min  id=b864e123
[78/81]   5.9s  avg=  5.9s  ok=76/78  eta=  0.3min  id=110e0229
[79/81]   5.7s  avg=  5.9s  ok=77/79  eta=  0.2min  id=f4beaedd
[80/81]   5.7s  avg=  5.9s  ok=78/80  eta=  0.1min  id=99418d10
[81/81]   5.7s  avg=  5.9s  ok=79/81  eta=  0.0min  id=9e5c7160

done. 79 parsed, 2 failed (2.5% parse failure). avg 5.9s/clause. wrote ../results/qwen_srl.jsonl
=== qwen / discourse ===
loading Qwen2.5-7B-Instruct (Q4_K_M) ...
loaded in 3.6s
81 clauses  model=qwen  scheme=discourse
[1/81]   6.9s  avg=  6.9s  ok=1/1  eta=  9.2min  id=6c70c05d
[2/81]   5.4s  avg=  6.2s  ok=2/2  eta=  8.1min  id=90198b2f
[3/81]   5.1s  avg=  5.8s  ok=3/3  eta=  7.5min  id=12f07fb3
[4/81]   5.5s  avg=  5.7s  ok=4/4  eta=  7.3min  id=85fbe1ef
[5/81]   5.1s  avg=  5.6s  ok=5/5  eta=  7.1min  id=919e8c64
[6/81]   5.0s  avg=  5.5s  ok=6/6  eta=  6.9min  id=f1d27d11
[7/81]   5.1s  avg=  5.4s  ok=7/7  eta=  6.7min  id=854eba63
[8/81]   5.7s  avg=  5.5s  ok=8/8  eta=  6.7min  id=d6504b6b
[9/81]   6.7s  avg=  5.6s  ok=9/9  eta=  6.7min  id=ba68cdb6
[10/81]   5.5s  avg=  5.6s  ok=10/10  eta=  6.6min  id=9affec9a
[11/81]   5.4s  avg=  5.6s  ok=11/11  eta=  6.5min  id=b1485f9d
[12/81]   5.9s  avg=  5.6s  ok=12/12  eta=  6.4min  id=36da9597
[13/81]   5.4s  avg=  5.6s  ok=13/13  eta=  6.3min  id=e61e6b32
[14/81]   5.4s  avg=  5.6s  ok=14/14  eta=  6.2min  id=254ae6a0
[15/81]   5.3s  avg=  5.6s  ok=15/15  eta=  6.1min  id=cc1a7762
[16/81]   5.3s  avg=  5.5s  ok=16/16  eta=  6.0min  id=d5b5dbb9
[17/81]   5.5s  avg=  5.5s  ok=17/17  eta=  5.9min  id=dad1381f
[18/81]   5.7s  avg=  5.5s  ok=18/18  eta=  5.8min  id=3257b1ba
[19/81]   5.7s  avg=  5.6s  ok=19/19  eta=  5.7min  id=3f7337d0
[20/81]   5.5s  avg=  5.6s  ok=20/20  eta=  5.6min  id=53e07303
[21/81]   5.3s  avg=  5.5s  ok=21/21  eta=  5.5min  id=8d6dc531
[22/81]   5.4s  avg=  5.5s  ok=22/22  eta=  5.4min  id=8c22824f
[23/81]   5.5s  avg=  5.5s  ok=23/23  eta=  5.3min  id=09c28b54
[24/81]   5.5s  avg=  5.5s  ok=24/24  eta=  5.3min  id=0c539d50
[25/81]   5.6s  avg=  5.5s  ok=25/25  eta=  5.2min  id=5c175f9b
[26/81]   5.9s  avg=  5.5s  ok=26/26  eta=  5.1min  id=aa45604e
[27/81]   5.7s  avg=  5.6s  ok=27/27  eta=  5.0min  id=8f30fd87
[28/81]   5.6s  avg=  5.6s  ok=28/28  eta=  4.9min  id=149ee200
[29/81]   5.5s  avg=  5.6s  ok=29/29  eta=  4.8min  id=f611c08f
[30/81]   5.7s  avg=  5.6s  ok=30/30  eta=  4.7min  id=4bc9d48d
[31/81]   5.6s  avg=  5.6s  ok=31/31  eta=  4.6min  id=a0a638e7
[32/81]   5.4s  avg=  5.6s  ok=32/32  eta=  4.5min  id=96f1ca71
[33/81]   5.6s  avg=  5.6s  ok=33/33  eta=  4.4min  id=91b25250
[34/81]   5.6s  avg=  5.6s  ok=34/34  eta=  4.4min  id=fc2be294
[35/81]   5.5s  avg=  5.6s  ok=35/35  eta=  4.3min  id=66eb98e8
